Class,Image Path
Alpinia Galanga (Rasna),D:\Directory\Med Scan\Segmented Medicinal Leaf Images\Alpinia Galanga (Rasna)\AG-S-024.jpg
Alpinia Galanga (Rasna),D:\Directory\Med Scan\Segmented Medicinal Leaf Images\Alpinia Galanga (Rasna)\AG-S-025.jpg
Alpinia Galanga (Rasna),D:\Directory\Med Scan\Segmented Medicinal Leaf Images\Alpinia Galanga (Rasna)\AG-S-026.jpg
Alpinia Galanga (Rasna),D:\Directory\Med Scan\Segmented Medicinal Leaf Images\Alpinia Galanga (Rasna)\AG-S-027.jpg
Alpinia Galanga (Rasna),D:\Directory\Med Scan\Segmented Medicinal Leaf Images\Alpinia Galanga (Rasna)\AG-S-028.jpg
Alpinia Galanga (Rasna),D:\Directory\Med Scan\Segmented Medicinal Leaf Images\Alpinia Galanga (Rasna)\AG-S-029.jpg
Alpinia Galanga (Rasna),D:\Directory\Med Scan\Segmented Medicinal Leaf Images\Alpinia Galanga (Rasna)\AG-S-030.jpg
Alpinia Galanga (Rasna),D:\Directory\Med Scan\Segmented Medicinal Leaf Images\Alpinia Galanga (Rasna)\AG-S-031.jpg
Alpinia Galanga (Rasna),D:\Directory\Med Scan\Segmented Medicinal Leaf Images\Alpinia Galanga (Rasna)\AG-S-032.jpg
Alpinia Galanga (Rasna),D:\Directory\Med Scan\Segmented Medicinal Leaf Images\Alpinia Galanga (Rasna)\AG-S-033.jpg
Alpinia Galanga (Rasna),D:\Directory\Med Scan\Segmented Medicinal Leaf Images\Alpinia Galanga (Rasna)\AG-S-034.jpg
Alpinia Galanga (Rasna),D:\Directory\Med Scan\Segmented Medicinal Leaf Images\Alpinia Galanga (Rasna)\AG-S-035.jpg
Alpinia Galanga (Rasna),D:\Directory\Med Scan\Segmented Medicinal Leaf Images\Alpinia Galanga (Rasna)\AG-S-036.jpg
Alpinia Galanga (Rasna),D:\Directory\Med Scan\Segmented Medicinal Leaf Images\Alpinia Galanga (Rasna)\AG-S-037.jpg
Alpinia Galanga (Rasna),D:\Directory\Med Scan\Segmented Medicinal Leaf Images\Alpinia Galanga (Rasna)\AG-S-038.jpg
Alpinia Galanga (Rasna),D:\Directory\Med Scan\Segmented Medicinal Leaf Images\Alpinia Galanga (Rasna)\AG-S-039.jpg
Alpinia Galanga (Rasna),D:\Directory\Med Scan\Segmented Medicinal Leaf Images\Alpinia Galanga (Rasna)\AG-S-040.jpg
Alpinia Galanga (Rasna),D:\Directory\Med Scan\Segmented Medicinal Leaf Images\Alpinia Galanga (Rasna)\AG-S-041.jpg
Alpinia Galanga (Rasna),D:\Directory\Med Scan\Segmented Medicinal Leaf Images\Alpinia Galanga (Rasna)\AG-S-042.jpg
Alpinia Galanga (Rasna),D:\Directory\Med Scan\Segmented Medicinal Leaf Images\Alpinia Galanga (Rasna)\AG-S-043.jpg
Alpinia Galanga (Rasna),D:\Directory\Med Scan\Segmented Medicinal Leaf Images\Alpinia Galanga (Rasna)\AG-S-044.jpg
Alpinia Galanga (Rasna),D:\Directory\Med Scan\Segmented Medicinal Leaf Images\Alpinia Galanga (Rasna)\AG-S-045.jpg
Alpinia Galanga (Rasna),D:\Directory\Med Scan\Segmented Medicinal Leaf Images\Alpinia Galanga (Rasna)\AG-S-046.jpg
Alpinia Galanga (Rasna),D:\Directory\Med Scan\Segmented Medicinal Leaf Images\Alpinia Galanga (Rasna)\AG-S-047.jpg
Alpinia Galanga (Rasna),D:\Directory\Med Scan\Segmented Medicinal Leaf Images\Alpinia Galanga (Rasna)\AG-S-048.jpg
Alpinia Galanga (Rasna),D:\Directory\Med Scan\Segmented Medicinal Leaf Images\Alpinia Galanga (Rasna)\AG-S-049.jpg
Alpinia Galanga (Rasna),D:\Directory\Med Scan\Segmented Medicinal Leaf Images\Alpinia Galanga (Rasna)\AG-S-050.jpg
Alpinia Galanga (Rasna),D:\Directory\Med Scan\Balanced_Dataset\Alpinia Galanga (Rasna)\AG-S-045_aug.jpg
Alpinia Galanga (Rasna),D:\Directory\Med Scan\Balanced_Dataset\Alpinia Galanga (Rasna)\AG-S-023_aug.jpg
Alpinia Galanga (Rasna),D:\Directory\Med Scan\Balanced_Dataset\Alpinia Galanga (Rasna)\AG-S-011_aug.jpg
Alpinia Galanga (Rasna),D:\Directory\Med Scan\Balanced_Dataset\Alpinia Galanga (Rasna)\AG-S-004_aug.jpg
Alpinia Galanga (Rasna),D:\Directory\Med Scan\Balanced_Dataset\Alpinia Galanga (Rasna)\AG-S-034_aug.jpg
Alpinia Galanga (Rasna),D:\Directory\Med Scan\Balanced_Dataset\Alpinia Galanga (Rasna)\AG-S-049_aug.jpg
Alpinia Galanga (Rasna),D:\Directory\Med Scan\Balanced_Dataset\Alpinia Galanga (Rasna)\AG-S-004_aug.jpg
Alpinia Galanga (Rasna),D:\Directory\Med Scan\Balanced_Dataset\Alpinia Galanga (Rasna)\AG-S-049_aug_aug.jpg
Alpinia Galanga (Rasna),D:\Directory\Med Scan\Balanced_Dataset\Alpinia Galanga (Rasna)\AG-S-035_aug.jpg
Alpinia Galanga (Rasna),D:\Directory\Med Scan\Balanced_Dataset\Alpinia Galanga (Rasna)\AG-S-048_aug.jpg
Alpinia Galanga (Rasna),D:\Directory\Med Scan\Balanced_Dataset\Alpinia Galanga (Rasna)\AG-S-038_aug.jpg
Alpinia Galanga (Rasna),D:\Directory\Med Scan\Balanced_Dataset\Alpinia Galanga (Rasna)\AG-S-048_aug.jpg
Alpinia Galanga (Rasna),D:\Directory\Med Scan\Balanced_Dataset\Alpinia Galanga (Rasna)\AG-S-048_aug.jpg
Alpinia Galanga (Rasna),D:\Directory\Med Scan\Balanced_Dataset\Alpinia Galanga (Rasna)\AG-S-048_aug_aug.jpg
Alpinia Galanga (Rasna),D:\Directory\Med Scan\Balanced_Dataset\Alpinia Galanga (Rasna)\AG-S-047_aug.jpg
Alpinia Galanga (Rasna),D:\Directory\Med Scan\Balanced_Dataset\Alpinia Galanga (Rasna)\AG-S-021_aug.jpg
Alpinia Galanga (Rasna),D:\Directory\Med Scan\Balanced_Dataset\Alpinia Galanga (Rasna)\AG-S-029_aug.jpg
Alpinia Galanga (Rasna),D:\Directory\Med Scan\Balanced_Dataset\Alpinia Galanga (Rasna)\AG-S-004_aug.jpg
Alpinia Galanga (Rasna),D:\Directory\Med Scan\Balanced_Dataset\Alpinia Galanga (Rasna)\AG-S-015_aug.jpg
Alpinia Galanga (Rasna),D:\Directory\Med Scan\Balanced_Dataset\Alpinia Galanga (Rasna)\AG-S-049_aug_aug.jpg
Alpinia Galanga (Rasna),D:\Directory\Med Scan\Balanced_Dataset\Alpinia Galanga (Rasna)\AG-S-041_aug.jpg
Alpinia Galanga (Rasna),D:\Directory\Med Scan\Balanced_Dataset\Alpinia Galanga (Rasna)\AG-S-028_aug.jpg
Alpinia Galanga (Rasna),D:\Directory\Med Scan\Balanced_Dataset\Alpinia Galanga (Rasna)\AG-S-045_aug_aug.jpg
Alpinia Galanga (Rasna),D:\Directory\Med Scan\Balanced_Dataset\Alpinia Galanga (Rasna)\AG-S-029_aug_aug.jpg
Alpinia Galanga (Rasna),D:\Directory\Med Scan\Balanced_Dataset\Alpinia Galanga (Rasna)\AG-S-039_aug.jpg
Alpinia Galanga (Rasna),D:\Directory\Med Scan\Balanced_Dataset\Alpinia Galanga (Rasna)\AG-S-049_aug.jpg
Alpinia Galanga (Rasna),D:\Directory\Med Scan\Balanced_Dataset\Alpinia Galanga (Rasna)\AG-S-031_aug.jpg
Alpinia Galanga (Rasna),D:\Directory\Med Scan\Balanced_Dataset\Alpinia Galanga (Rasna)\AG-S-013_aug.jpg
Alpinia Galanga (Rasna),D:\Directory\Med Scan\Balanced_Dataset\Alpinia Galanga (Rasna)\AG-S-033_aug.jpg
Alpinia Galanga (Rasna),D:\Directory\Med Scan\Balanced_Dataset\Alpinia Galanga (Rasna)\AG-S-021_aug_aug.jpg
Alpinia Galanga (Rasna),D:\Directory\Med Scan\Balanced_Dataset\Alpinia Galanga (Rasna)\AG-S-024_aug.jpg
Alpinia Galanga (Rasna),D:\Directory\Med Scan\Balanced_Dataset\Alpinia Galanga (Rasna)\AG-S-019_aug.jpg
Alpinia Galanga (Rasna),D:\Directory\Med Scan\Balanced_Dataset\Alpinia Galanga (Rasna)\AG-S-034_aug.jpg
Alpinia Galanga (Rasna),D:\Directory\Med Scan\Balanced_Dataset\Alpinia Galanga (Rasna)\AG-S-017_aug.jpg
Alpinia Galanga (Rasna),D:\Directory\Med Scan\Balanced_Dataset\Alpinia Galanga (Rasna)\AG-S-048_aug_aug.jpg
Alpinia Galanga (Rasna),D:\Directory\Med Scan\Balanced_Dataset\Alpinia Galanga (Rasna)\AG-S-024_aug_aug.jpg
Alpinia Galanga (Rasna),D:\Directory\Med Scan\Balanced_Dataset\Alpinia Galanga (Rasna)\AG-S-044_aug.jpg
Alpinia Galanga (Rasna),D:\Directory\Med Scan\Balanced_Dataset\Alpinia Galanga (Rasna)\AG-S-045_aug_aug_aug.jpg
Alpinia Galanga (Rasna),D:\Directory\Med Scan\Balanced_Dataset\Alpinia Galanga (Rasna)\AG-S-005_aug.jpg
Alpinia Galanga (Rasna),D:\Directory\Med Scan\Balanced_Dataset\Alpinia Galanga (Rasna)\AG-S-004_aug_aug.jpg
Alpinia Galanga (Rasna),D:\Directory\Med Scan\Balanced_Dataset\Alpinia Galanga (Rasna)\AG-S-029_aug_aug.jpg
Alpinia Galanga (Rasna),D:\Directory\Med Scan\Balanced_Dataset\Alpinia Galanga (Rasna)\AG-S-048_aug_aug.jpg
Alpinia Galanga (Rasna),D:\Directory\Med Scan\Balanced_Dataset\Alpinia Galanga (Rasna)\AG-S-005_aug_aug.jpg
Alpinia Galanga (Rasna),D:\Directory\Med Scan\Balanced_Dataset\Alpinia Galanga (Rasna)\AG-S-045_aug_aug.jpg
Alpinia Galanga (Rasna),D:\Directory\Med Scan\Balanced_Dataset\Alpinia Galanga (Rasna)\AG-S-040_aug.jpg
Alpinia Galanga (Rasna),D:\Directory\Med Scan\Balanced_Dataset\Alpinia Galanga (Rasna)\AG-S-039_aug.jpg
Alpinia Galanga (Rasna),D:\Directory\Med Scan\Balanced_Dataset\Alpinia Galanga (Rasna)\AG-S-026_aug.jpg
Alpinia Galanga (Rasna),D:\Directory\Med Scan\Balanced_Dataset\Alpinia Galanga (Rasna)\AG-S-027_aug.jpg
Alpinia Galanga (Rasna),D:\Directory\Med Scan\Balanced_Dataset\Alpinia Galanga (Rasna)\AG-S-048_aug_aug_aug.jpg
Alpinia Galanga (Rasna),D:\Directory\Med Scan\Balanced_Dataset\Alpinia Galanga (Rasna)\AG-S-045_aug_aug.jpg
Alpinia Galanga (Rasna),D:\Directory\Med Scan\Balanced_Dataset\Alpinia Galanga (Rasna)\AG-S-015_aug.jpg
Alpinia Galanga (Rasna),D:\Directory\Med Scan\Balanced_Dataset\Alpinia Galanga (Rasna)\AG-S-045_aug_aug_aug.jpg
Alpinia Galanga (Rasna),D:\Directory\Med Scan\Balanced_Dataset\Alpinia Galanga (Rasna)\AG-S-010_aug.jpg
Alpinia Galanga (Rasna),D:\Directory\Med Scan\Balanced_Dataset\Alpinia Galanga (Rasna)\AG-S-049_aug.jpg
Alpinia Galanga (Rasna),D:\Directory\Med Scan\Balanced_Dataset\Alpinia Galanga (Rasna)\AG-S-031_aug_aug.jpg
Alpinia Galanga (Rasna),D:\Directory\Med Scan\Balanced_Dataset\Alpinia Galanga (Rasna)\AG-S-023_aug.jpg
Alpinia Galanga (Rasna),D:\Directory\Med Scan\Balanced_Dataset\Alpinia Galanga (Rasna)\AG-S-025_aug.jpg
Alpinia Galanga (Rasna),D:\Directory\Med Scan\Balanced_Dataset\Alpinia Galanga (Rasna)\AG-S-045_aug_aug_aug.jpg
Alpinia Galanga (Rasna),D:\Directory\Med Scan\Balanced_Dataset\Alpinia Galanga (Rasna)\AG-S-048_aug_aug_aug.jpg
Alpinia Galanga (Rasna),D:\Directory\Med Scan\Balanced_Dataset\Alpinia Galanga (Rasna)\AG-S-048_aug_aug.jpg
Alpinia Galanga (Rasna),D:\Directory\Med Scan\Balanced_Dataset\Alpinia Galanga (Rasna)\AG-S-001_aug.jpg
Alpinia Galanga (Rasna),D:\Directory\Med Scan\Balanced_Dataset\Alpinia Galanga (Rasna)\AG-S-004_aug_aug.jpg
Alpinia Galanga (Rasna),D:\Directory\Med Scan\Balanced_Dataset\Alpinia Galanga (Rasna)\AG-S-048_aug_aug_aug.jpg
Alpinia Galanga (Rasna),D:\Directory\Med Scan\Balanced_Dataset\Alpinia Galanga (Rasna)\AG-S-049_aug_aug.jpg
Alpinia Galanga (Rasna),D:\Directory\Med Scan\Balanced_Dataset\Alpinia Galanga (Rasna)\AG-S-030_aug.jpg
Alpinia Galanga (Rasna),D:\Directory\Med Scan\Balanced_Dataset\Alpinia Galanga (Rasna)\AG-S-004_aug_aug.jpg
Alpinia Galanga (Rasna),D:\Directory\Med Scan\Balanced_Dataset\Alpinia Galanga (Rasna)\AG-S-019_aug.jpg
Alpinia Galanga (Rasna),D:\Directory\Med Scan\Balanced_Dataset\Alpinia Galanga (Rasna)\AG-S-010_aug_aug.jpg
Alpinia Galanga (Rasna),D:\Directory\Med Scan\Balanced_Dataset\Alpinia Galanga (Rasna)\AG-S-043_aug.jpg
Alpinia Galanga (Rasna),D:\Directory\Med Scan\Balanced_Dataset\Alpinia Galanga (Rasna)\AG-S-016_aug.jpg
Alpinia Galanga (Rasna),D:\Directory\Med Scan\Balanced_Dataset\Alpinia Galanga (Rasna)\AG-S-035_aug_aug.jpg
Alpinia Galanga (Rasna),D:\Directory\Med Scan\Balanced_Dataset\Alpinia Galanga (Rasna)\AG-S-045_aug.jpg
Amaranthus Viridis (Arive-Dantu),D:\Directory\Med Scan\Segmented Medicinal Leaf Images\Amaranthus Viridis (Arive-Dantu)\AV-S-001.jpg
Amaranthus Viridis (Arive-Dantu),D:\Directory\Med Scan\Segmented Medicinal Leaf Images\Amaranthus Viridis (Arive-Dantu)\AV-S-002.jpg
Amaranthus Viridis (Arive-Dantu),D:\Directory\Med Scan\Segmented Medicinal Leaf Images\Amaranthus Viridis (Arive-Dantu)\AV-S-003.jpg
Amaranthus Viridis (Arive-Dantu),D:\Directory\Med Scan\Segmented Medicinal Leaf Images\Amaranthus Viridis (Arive-Dantu)\AV-S-004.jpg
Amaranthus Viridis (Arive-Dantu),D:\Directory\Med Scan\Segmented Medicinal Leaf Images\Amaranthus Viridis (Arive-Dantu)\AV-S-005.jpg
Amaranthus Viridis (Arive-Dantu),D:\Directory\Med Scan\Segmented Medicinal Leaf Images\Amaranthus Viridis (Arive-Dantu)\AV-S-006.jpg
Amaranthus Viridis (Arive-Dantu),D:\Directory\Med Scan\Segmented Medicinal Leaf Images\Amaranthus Viridis (Arive-Dantu)\AV-S-008.jpg
Amaranthus Viridis (Arive-Dantu),D:\Directory\Med Scan\Segmented Medicinal Leaf Images\Amaranthus Viridis (Arive-Dantu)\AV-S-009.jpg
Amaranthus Viridis (Arive-Dantu),D:\Directory\Med Scan\Segmented Medicinal Leaf Images\Amaranthus Viridis (Arive-Dantu)\AV-S-010.jpg
Amaranthus Viridis (Arive-Dantu),D:\Directory\Med Scan\Segmented Medicinal Leaf Images\Amaranthus Viridis (Arive-Dantu)\AV-S-011.jpg
Amaranthus Viridis (Arive-Dantu),D:\Directory\Med Scan\Segmented Medicinal Leaf Images\Amaranthus Viridis (Arive-Dantu)\AV-S-012.jpg
Amaranthus Viridis (Arive-Dantu),D:\Directory\Med Scan\Segmented Medicinal Leaf Images\Amaranthus Viridis (Arive-Dantu)\AV-S-013.jpg
Amaranthus Viridis (Arive-Dantu),D:\Directory\Med Scan\Segmented Medicinal Leaf Images\Amaranthus Viridis (Arive-Dantu)\AV-S-014.jpg
Amaranthus Viridis (Arive-Dantu),D:\Directory\Med Scan\Segmented Medicinal Leaf Images\Amaranthus Viridis (Arive-Dantu)\AV-S-015.jpg
Amaranthus Viridis (Arive-Dantu),D:\Directory\Med Scan\Segmented Medicinal Leaf Images\Amaranthus Viridis (Arive-Dantu)\AV-S-016.jpg
Amaranthus Viridis (Arive-Dantu),D:\Directory\Med Scan\Segmented Medicinal Leaf Images\Amaranthus Viridis (Arive-Dantu)\AV-S-017.jpg
Amaranthus Viridis (Arive-Dantu),D:\Directory\Med Scan\Segmented Medicinal Leaf Images\Amaranthus Viridis (Arive-Dantu)\AV-S-018.jpg
Amaranthus Viridis (Arive-Dantu),D:\Directory\Med Scan\Segmented Medicinal Leaf Images\Amaranthus Viridis (Arive-Dantu)\AV-S-019.jpg
Amaranthus Viridis (Arive-Dantu),D:\Directory\Med Scan\Segmented Medicinal Leaf Images\Amaranthus Viridis (Arive-Dantu)\AV-S-020.jpg
Amaranthus Viridis (Arive-Dantu),D:\Directory\Med Scan\Segmented Medicinal Leaf Images\Amaranthus Viridis (Arive-Dantu)\AV-S-021.jpg
Amaranthus Viridis (Arive-Dantu),D:\Directory\Med Scan\Segmented Medicinal Leaf Images\Amaranthus Viridis (Arive-Dantu)\AV-S-022.jpg
Amaranthus Viridis (Arive-Dantu),D:\Directory\Med Scan\Segmented Medicinal Leaf Images\Amaranthus Viridis (Arive-Dantu)\AV-S-023.jpg
Amaranthus Viridis (Arive-Dantu),D:\Directory\Med Scan\Segmented Medicinal Leaf Images\Amaranthus Viridis (Arive-Dantu)\AV-S-024.jpg
Amaranthus Viridis (Arive-Dantu),D:\Directory\Med Scan\Segmented Medicinal Leaf Images\Amaranthus Viridis (Arive-Dantu)\AV-S-025.jpg
Amaranthus Viridis (Arive-Dantu),D:\Directory\Med Scan\Segmented Medicinal Leaf Images\Amaranthus Viridis (Arive-Dantu)\AV-S-026.jpg
Amaranthus Viridis (Arive-Dantu),D:\Directory\Med Scan\Segmented Medicinal Leaf Images\Amaranthus Viridis (Arive-Dantu)\AV-S-027.jpg
Amaranthus Viridis (Arive-Dantu),D:\Directory\Med Scan\Segmented Medicinal Leaf Images\Amaranthus Viridis (Arive-Dantu)\AV-S-028.jpg
Amaranthus Viridis (Arive-Dantu),D:\Directory\Med Scan\Segmented Medicinal Leaf Images\Amaranthus Viridis (Arive-Dantu)\AV-S-029.jpg
Amaranthus Viridis (Arive-Dantu),D:\Directory\Med Scan\Segmented Medicinal Leaf Images\Amaranthus Viridis (Arive-Dantu)\AV-S-030.jpg
Amaranthus Viridis (Arive-Dantu),D:\Directory\Med Scan\Segmented Medicinal Leaf Images\Amaranthus Viridis (Arive-Dantu)\AV-S-031.jpg
Amaranthus Viridis (Arive-Dantu),D:\Directory\Med Scan\Segmented Medicinal Leaf Images\Amaranthus Viridis (Arive-Dantu)\AV-S-032.jpg
Amaranthus Viridis (Arive-Dantu),D:\Directory\Med Scan\Segmented Medicinal Leaf Images\Amaranthus Viridis (Arive-Dantu)\AV-S-033.jpg
Amaranthus Viridis (Arive-Dantu),D:\Directory\Med Scan\Segmented Medicinal Leaf Images\Amaranthus Viridis (Arive-Dantu)\AV-S-034.jpg
Amaranthus Viridis (Arive-Dantu),D:\Directory\Med Scan\Segmented Medicinal Leaf Images\Amaranthus Viridis (Arive-Dantu)\AV-S-035.jpg
Amaranthus Viridis (Arive-Dantu),D:\Directory\Med Scan\Segmented Medicinal Leaf Images\Amaranthus Viridis (Arive-Dantu)\AV-S-036.jpg
Amaranthus Viridis (Arive-Dantu),D:\Directory\Med Scan\Segmented Medicinal Leaf Images\Amaranthus Viridis (Arive-Dantu)\AV-S-037.jpg
Amaranthus Viridis (Arive-Dantu),D:\Directory\Med Scan\Segmented Medicinal Leaf Images\Amaranthus Viridis (Arive-Dantu)\AV-S-038.jpg
Amaranthus Viridis (Arive-Dantu),D:\Directory\Med Scan\Segmented Medicinal Leaf Images\Amaranthus Viridis (Arive-Dantu)\AV-S-039.jpg
Amaranthus Viridis (Arive-Dantu),D:\Directory\Med Scan\Segmented Medicinal Leaf Images\Amaranthus Viridis (Arive-Dantu)\AV-S-040.jpg
Amaranthus Viridis (Arive-Dantu),D:\Directory\Med Scan\Segmented Medicinal Leaf Images\Amaranthus Viridis (Arive-Dantu)\AV-S-041.jpg
Amaranthus Viridis (Arive-Dantu),D:\Directory\Med Scan\Segmented Medicinal Leaf Images\Amaranthus Viridis (Arive-Dantu)\AV-S-042.jpg
Amaranthus Viridis (Arive-Dantu),D:\Directory\Med Scan\Segmented Medicinal Leaf Images\Amaranthus Viridis (Arive-Dantu)\AV-S-043.jpg
Amaranthus Viridis (Arive-Dantu),D:\Directory\Med Scan\Segmented Medicinal Leaf Images\Amaranthus Viridis (Arive-Dantu)\AV-S-044.jpg
Amaranthus Viridis (Arive-Dantu),D:\Directory\Med Scan\Segmented Medicinal Leaf Images\Amaranthus Viridis (Arive-Dantu)\AV-S-045.jpg
Amaranthus Viridis (Arive-Dantu),D:\Directory\Med Scan\Segmented Medicinal Leaf Images\Amaranthus Viridis (Arive-Dantu)\AV-S-046.jpg
Amaranthus Viridis (Arive-Dantu),D:\Directory\Med Scan\Segmented Medicinal Leaf Images\Amaranthus Viridis (Arive-Dantu)\AV-S-047.jpg
Amaranthus Viridis (Arive-Dantu),D:\Directory\Med Scan\Segmented Medicinal Leaf Images\Amaranthus Viridis (Arive-Dantu)\AV-S-048.jpg
Amaranthus Viridis (Arive-Dantu),D:\Directory\Med Scan\Segmented Medicinal Leaf Images\Amaranthus Viridis (Arive-Dantu)\AV-S-049.jpg
Amaranthus Viridis (Arive-Dantu),D:\Directory\Med Scan\Segmented Medicinal Leaf Images\Amaranthus Viridis (Arive-Dantu)\AV-S-050.jpg
Amaranthus Viridis (Arive-Dantu),D:\Directory\Med Scan\Segmented Medicinal Leaf Images\Amaranthus Viridis (Arive-Dantu)\AV-S-051.jpg
Amaranthus Viridis (Arive-Dantu),D:\Directory\Med Scan\Segmented Medicinal Leaf Images\Amaranthus Viridis (Arive-Dantu)\AV-S-052.jpg
Amaranthus Viridis (Arive-Dantu),D:\Directory\Med Scan\Segmented Medicinal Leaf Images\Amaranthus Viridis (Arive-Dantu)\AV-S-053.jpg
Amaranthus Viridis (Arive-Dantu),D:\Directory\Med Scan\Segmented Medicinal Leaf Images\Amaranthus Viridis (Arive-Dantu)\AV-S-054.jpg
Amaranthus Viridis (Arive-Dantu),D:\Directory\Med Scan\Segmented Medicinal Leaf Images\Amaranthus Viridis (Arive-Dantu)\AV-S-055.jpg
Amaranthus Viridis (Arive-Dantu),D:\Directory\Med Scan\Segmented Medicinal Leaf Images\Amaranthus Viridis (Arive-Dantu)\AV-S-056.jpg
Amaranthus Viridis (Arive-Dantu),D:\Directory\Med Scan\Segmented Medicinal Leaf Images\Amaranthus Viridis (Arive-Dantu)\AV-S-057.jpg
Amaranthus Viridis (Arive-Dantu),D:\Directory\Med Scan\Segmented Medicinal Leaf Images\Amaranthus Viridis (Arive-Dantu)\AV-S-058.jpg
Amaranthus Viridis (Arive-Dantu),D:\Directory\Med Scan\Segmented Medicinal Leaf Images\Amaranthus Viridis (Arive-Dantu)\AV-S-059.jpg
Amaranthus Viridis (Arive-Dantu),D:\Directory\Med Scan\Segmented Medicinal Leaf Images\Amaranthus Viridis (Arive-Dantu)\AV-S-060.jpg
Amaranthus Viridis (Arive-Dantu),D:\Directory\Med Scan\Segmented Medicinal Leaf Images\Amaranthus Viridis (Arive-Dantu)\AV-S-061.jpg
Amaranthus Viridis (Arive-Dantu),D:\Directory\Med Scan\Segmented Medicinal Leaf Images\Amaranthus Viridis (Arive-Dantu)\AV-S-062.jpg
Amaranthus Viridis (Arive-Dantu),D:\Directory\Med Scan\Segmented Medicinal Leaf Images\Amaranthus Viridis (Arive-Dantu)\AV-S-063.jpg
Amaranthus Viridis (Arive-Dantu),D:\Directory\Med Scan\Segmented Medicinal Leaf Images\Amaranthus Viridis (Arive-Dantu)\AV-S-064.jpg
Amaranthus Viridis (Arive-Dantu),D:\Directory\Med Scan\Segmented Medicinal Leaf Images\Amaranthus Viridis (Arive-Dantu)\AV-S-065.jpg
Amaranthus Viridis (Arive-Dantu),D:\Directory\Med Scan\Segmented Medicinal Leaf Images\Amaranthus Viridis (Arive-Dantu)\AV-S-066.jpg
Amaranthus Viridis (Arive-Dantu),D:\Directory\Med Scan\Segmented Medicinal Leaf Images\Amaranthus Viridis (Arive-Dantu)\AV-S-067.jpg
Amaranthus Viridis (Arive-Dantu),D:\Directory\Med Scan\Segmented Medicinal Leaf Images\Amaranthus Viridis (Arive-Dantu)\AV-S-068.jpg
